symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2016-10-05 00:00:00+00:00,68.23,69.58,68.02,68.88,7636009,67.2796271532,68.610823059,67.0725522345,67.9205733301,7636009,0.0,1.0
NVDA,2016-10-06 00:00:00+00:00,67.34,67.83,66.26,67.41,9005317,66.4020239263,66.8851987366,65.3370672017,66.4710488992,9005317,0.0,1.0
NVDA,2016-10-07 00:00:00+00:00,66.85,67.97,66.66,67.79,7156502,65.9188491161,67.0232486824,65.7314956182,66.845755895,7156502,0.0,1.0
NVDA,2016-10-10 00:00:00+00:00,67.1,67.56,66.47,67.2,7196868,66.1653668764,66.6189595554,65.5441421203,66.2639739805,7196868,0.0,1.0
NVDA,2016-10-11 00:00:00+00:00,66.13,66.98,65.62,66.88,9713476,65.2088779663,66.0470383514,64.7059817352,65.9484312473,9713476,0.0,1.0
NVDA,2016-10-12 00:00:00+00:00,66.43,66.7791,65.31,65.86,10498025,65.5046992787,65.8489366792,64.4002997123,64.9426387851,10498025,0.0,1.0
NVDA,2016-10-13 00:00:00+00:00,65.35,65.8,63.7,65.65,9752910,64.439742554,64.8834745226,62.8127253357,64.7355638664,9752910,0.0,1.0
NVDA,2016-10-14 00:00:00+00:00,65.99,66.6,65.6,66.15,8265851,65.0708280205,65.6723313557,64.6862603143,65.2285993871,8265851,0.0,1.0
NVDA,2016-10-17 00:00:00+00:00,65.61,66.6,65.52,65.98,4883160,64.6961210248,65.6723313557,64.607374631,65.0609673101,4883160,0.0,1.0
NVDA,2016-10-18 00:00:00+00:00,66.61,66.99,66.25,66.52,6734274,65.6821920661,66.0568990619,65.3272064912,65.5934456724,6734274,0.0,1.0
NVDA,2016-10-19 00:00:00+00:00,66.47,66.78,65.82,66.16,4976462,65.5441421203,65.8498241432,64.9031959434,65.2384600975,4976462,0.0,1.0
NVDA,2016-10-20 00:00:00+00:00,67.73,67.95,66.3,67.25,7802072,66.7865916325,67.0035272616,65.3765100433,66.3132775326,7802072,0.0,1.0
NVDA,2016-10-21 00:00:00+00:00,67.54,67.66,66.9,67.49,6987654,66.5992381346,66.7175666596,65.9681526681,66.5499345825,6987654,0.0,1.0
NVDA,2016-10-24 00:00:00+00:00,70.71,70.79,67.99,68.0,8495946,69.7250833358,69.8039690191,67.0429701032,67.0528308137,8495946,0.0,1.0
NVDA,2016-10-25 00:00:00+00:00,71.87,72.3,70.25,70.59,9936532,70.8689257438,71.2929362916,69.2714906567,69.6067548108,9936532,0.0,1.0
NVDA,2016-10-26 00:00:00+00:00,72.16,72.95,71.2,71.27,8344781,71.1548863458,71.9338824685,70.2082581461,70.277283119,8344781,0.0,1.0
NVDA,2016-10-27 00:00:00+00:00,70.68,72.85,70.385,72.71,9716622,69.6955012045,71.8352753643,69.4046102473,71.6972254185,9716622,0.0,1.0
NVDA,2016-10-28 00:00:00+00:00,70.56,72.1,70.43,71.02,7271374,69.5771726796,71.0957220833,69.4489834442,70.0307653586,7271374,0.0,1.0
NVDA,2016-10-31 00:00:00+00:00,71.16,71.625,70.75,70.79,6309718,70.1688153044,70.6273383386,69.7645261774,69.8039690191,6309718,0.0,1.0
NVDA,2016-11-01 00:00:00+00:00,69.05,71.81,68.29,71.42,11830629,68.0882054071,70.8097614813,67.3387914156,70.4251937752,11830629,0.0,1.0
NVDA,2016-11-02 00:00:00+00:00,68.76,70.52,68.6355,69.58,7396231,67.8022448051,69.5377298379,67.6794789604,68.610823059,7396231,0.0,1.0
NVDA,2016-11-03 00:00:00+00:00,67.96,69.14,66.64,69.08,7741593,67.013387972,68.1769518008,65.7117741974,68.1177875383,7741593,0.0,1.0
